연,월,일,품목,금액
2019,05,01~10,전체,12881459
2019,05,01~10,반도체,2033022
2019,05,01~10,석유제품,1073867
2019,05,01~10,철강제품,1032727
2019,05,01~10,승용차,836947
2019,05,01~10,자동차부품,588071
2019,05,01~10,무선통신기기,501190
2019,05,01~10,정밀기기,275772
2019,05,01~10,가전제품,225907
2019,05,01~10,선박,217417
2019,05,01~10,컴퓨터주변기기,197069
2019,05,01~20,전체,25497936
2019,05,01~20,반도체,4077324
2019,05,01~20,석유제품,2076792
2019,05,01~20,철강제품,1980916
2019,05,01~20,승용차,1865682
2019,05,01~20,자동차부품,1081219
2019,05,01~20,무선통신기기,908538
2019,05,01~20,선박,701900
2019,05,01~20,정밀기기,545594
2019,05,01~20,가전제품,487804
2019,05,01~20,컴퓨터주변기기,389490
2019,05,01~31,전체,45703948
2019,05,01~31,반도체,7788508
2019,05,01~31,철강제품,3895318
2019,05,01~31,승용차,3695183
2019,05,01~31,석유제품,3568497
2019,05,01~31,자동차부품,1872118
2019,05,01~31,무선통신기기,1487453
2019,05,01~31,선박,1130382
2019,05,01~31,정밀기기,961647
2019,05,01~31,가전제품,802018
2019,05,01~31,컴퓨터주변기기,647351
2019,06,01~10,전체,10215689
2019,06,01~10,반도체,1864831
2019,06,01~10,철강제품,841745
2019,06,01~10,석유제품,784212
2019,06,01~10,승용차,650388
2019,06,01~10,무선통신기기,423546
2019,06,01~10,자동차부품,408714
2019,06,01~10,정밀기기,237199
2019,06,01~10,가전제품,194677
2019,06,01~10,선박,179141
2019,06,01~10,컴퓨터주변기기,163973
2019,06,01~20,전체,27078707
2019,06,01~20,반도체,4728841
2019,06,01~20,철강제품,2206603
2019,06,01~20,승용차,2040727
2019,06,01~20,석유제품,1857571
2019,06,01~20,자동차부품,1129830
2019,06,01~20,무선통신기기,999454
2019,06,01~20,선박,911962
2019,06,01~20,정밀기기,585716
2019,06,01~20,가전제품,548801
2019,06,01~20,컴퓨터주변기기,413587
2019,06,01~30,전체,44008404
2019,06,01~30,반도체,8509573
2019,06,01~30,철강제품,3626858
2019,06,01~30,승용차,3532141
2019,06,01~30,석유제품,3060435
2019,06,01~30,선박,1888921
2019,06,01~30,자동차부품,1653017
2019,06,01~30,무선통신기기,1507277
2019,06,01~30,정밀기기,891367
2019,06,01~30,가전제품,805683
2019,06,01~30,컴퓨터주변기기,635527
2019,07,01~10,전체,13505147
2019,07,01~10,반도체,2102733
2019,07,01~10,석유제품,1212927
2019,07,01~10,철강제품,1060211
2019,07,01~10,승용차,853907
2019,07,01~10,자동차부품,621810
2019,07,01~10,무선통신기기,540844
2019,07,01~10,정밀기기,303244
2019,07,01~10,가전제품,259783
2019,07,01~10,컴퓨터주변기기,189925
2019,07,01~10,선박,183266
2019,07,01~20,전체,28230370
2019,07,01~20,반도체,4485921
2019,07,01~20,석유제품,2224994
2019,07,01~20,철강제품,2192511
2019,07,01~20,승용차,2126707
2019,07,01~20,자동차부품,1260042
2019,07,01~20,무선통신기기,1114647
2019,07,01~20,선박,873486
2019,07,01~20,정밀기기,597233
2019,07,01~20,가전제품,502954
2019,07,01~20,컴퓨터주변기기,405698
2019,07,01~31,전체,46078221
2019,07,01~31,반도체,7692400
2019,07,01~31,철강제품,3830585
2019,07,01~31,승용차,3592648
2019,07,01~31,석유제품,3590419
2019,07,01~31,자동차부품,1955456
2019,07,01~31,무선통신기기,1717063
2019,07,01~31,선박,1452668
2019,07,01~31,정밀기기,934216
2019,07,01~31,가전제품,793394
2019,07,01~31,컴퓨터주변기기,664712
2019,08,01~10,전체,11414397
2019,08,01~10,반도체,2339245
2019,08,01~10,석유제품,1141270
2019,08,01~10,철강제품,835519
2019,08,01~10,무선통신기기,690757
2019,08,01~10,자동차부품,411020
2019,08,01~10,선박,313123
2019,08,01~10,승용차,311293
2019,08,01~10,정밀기기,302658
2019,08,01~10,가전제품,192616
2019,08,01~10,컴퓨터주변기기,168126
2019,08,01~20,전체,24797946
2019,08,01~20,반도체,4736027
2019,08,01~20,석유제품,2181654
2019,08,01~20,철강제품,1838313
2019,08,01~20,무선통신기기,1378293
2019,08,01~20,승용차,1175925
2019,08,01~20,선박,1121747
2019,08,01~20,자동차부품,895345
2019,08,01~20,정밀기기,614570
2019,08,01~20,가전제품,428303
2019,08,01~20,컴퓨터주변기기,335734
2019,08,01~31,전체,44020065
2019,08,01~31,반도체,8190041
2019,08,01~31,석유제품,3612570
2019,08,01~31,철강제품,3571175
2019,08,01~31,승용차,2777454
2019,08,01~31,무선통신기기,2160921
2019,08,01~31,선박,1760365
2019,08,01~31,자동차부품,1697946
2019,08,01~31,정밀기기,1035132
2019,08,01~31,가전제품,705364
2019,08,01~31,컴퓨터주변기기,658994
2019,09,01~10,전체,15004914
2019,09,01~10,반도체,2301629
2019,09,01~10,석유제품,1272501
2019,09,01~10,철강제품,1052867
2019,09,01~10,선박,911948
2019,09,01~10,무선통신기기,819802
2019,09,01~10,승용차,817529
2019,09,01~10,자동차부품,684105
2019,09,01~10,정밀기기,364308
2019,09,01~10,가전제품,265201
2019,09,01~10,컴퓨터주변기기,187851
2019,09,01~20,전체,28540067
2019,09,01~20,반도체,4939170
2019,09,01~20,석유제품,2361977
2019,09,01~20,철강제품,2135806
2019,09,01~20,승용차,1565038
2019,09,01~20,무선통신기기,1528828
2019,09,01~20,선박,1522511
2019,09,01~20,자동차부품,1178476
2019,09,01~20,정밀기기,659311
2019,09,01~20,가전제품,489513
2019,09,01~20,컴퓨터주변기기,422907
2019,09,01~30,전체,44629053
2019,09,01~30,반도체,8675503
2019,09,01~30,석유제품,3571166
2019,09,01~30,철강제품,3407431
2019,09,01~30,승용차,2898680
2019,09,01~30,무선통신기기,2307153
2019,09,01~30,선박,1758719
2019,09,01~30,자동차부품,1706165
2019,09,01~30,정밀기기,975709
2019,09,01~30,컴퓨터주변기기,737206
2019,09,01~30,가전제품,688772
2019,10,01~10,전체,13071445
2019,10,01~10,반도체,2066177
2019,10,01~10,석유제품,991648
2019,10,01~10,철강제품,978755
2019,10,01~10,승용차,924992
2019,10,01~10,무선통신기기,797365
2019,10,01~10,자동차부품,630728
2019,10,01~10,정밀기기,288399
2019,10,01~10,가전제품,238831
2019,10,01~10,선박,230574
2019,10,01~10,컴퓨터주변기기,181882
2019,10,01~20,전체,26738387
2019,10,01~20,반도체,4605313
2019,10,01~20,승용차,1968844
2019,10,01~20,철강제품,1933026
2019,10,01~20,석유제품,1881901
2019,10,01~20,무선통신기기,1514010
2019,10,01~20,자동차부품,1130114
2019,10,01~20,선박,1059637
2019,10,01~20,정밀기기,580823
2019,10,01~20,가전제품,450804
2019,10,01~20,컴퓨터주변기기,434583
2019,10,01~31,전체,46648756
2019,10,01~31,반도체,8067974
2019,10,01~31,승용차,3594199
2019,10,01~31,철강제품,3589527
2019,10,01~31,석유제품,3380328
2019,10,01~31,무선통신기기,2335933
2019,10,01~31,자동차부품,1914345
2019,10,01~31,선박,1761556
2019,10,01~31,정밀기기,995435
2019,10,01~31,컴퓨터주변기기,880420
2019,10,01~31,가전제품,720749
2019,11,01~10,전체,11720034
2019,11,01~10,반도체,1978283
2019,11,01~10,승용차,963359
2019,11,01~10,철강제품,861212
2019,11,01~10,석유제품,850761
2019,11,01~10,무선통신기기,672841
2019,11,01~10,자동차부품,475726
2019,11,01~10,정밀기기,276314
2019,11,01~10,컴퓨터주변기기,239105
2019,11,01~10,선박,208607
2019,11,01~10,가전제품,176254
2019,11,01~20,전체,28152456
2019,11,01~20,반도체,4636690
2019,11,01~20,석유제품,2343672
2019,11,01~20,승용차,2233578
2019,11,01~20,철강제품,2056350
2019,11,01~20,무선통신기기,1337836
2019,11,01~20,자동차부품,1094360
